"[1,2,3,4,5,6]"
"[2,3,4,5,6,7]"
"[3,4,5,6,7,8]"
"[4,5,6,7,8,9]"
"[5,6,7,8,9,10]"
"[6,7,8,9,10,11]"
"[7,8,9,10,11,12]"
"[8,9,10,11,12,13]"
"[9,10,11,12,13,14]"
"[10,11,12,13,14,15]"
"[11,12,13,14,15,16]"
"[12,13,14,15,16,17]"
"[13,14,15,16,17,18]"
"[14,15,16,17,18,19]"
"[15,16,17,18,19,20]"
"[16,17,18,19,20,21]"
"[17,18,19,20,21,22]"
"[18,19,20,21,22,23]"
"[19,20,21,22,23,24]"
"[20,21,22,23,24,25]"
"[21,22,23,24,25,26]"
"[22,23,24,25,26,27]"
"[23,24,25,26,27,28]"
"[24,25,26,27,28,29]"
"[25,26,27,28,29,30]"
"[26,27,28,29,30,31]"
"[27,28,29,30,31,32]"
"[28,29,30,31,32,33]"
"[29,30,31,32,33,34]"
"[30,31,32,33,34,35]"
"[31,32,33,34,35,36]"
"[32,33,34,35,36,37]"
"[33,34,35,36,37,38]"
"[34,35,36,37,38,39]"
"[35,36,37,38,39,40]"
"[36,37,38,39,40,41]"
"[37,38,39,40,41,42]"
"[38,39,40,41,42,43]"
"[39,40,41,42,43,44]"
"[40,41,42,43,44,45]"
"[41,42,43,44,45,46]"
"[42,43,44,45,46,47]"
"[43,44,45,46,47,48]"
"[44,45,46,47,48,49]"
